#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-1.5223,16,84.418971
-0.196241,3,84.431441
-0.111342,2,84.438792
-0.044476,1,84.443506
-1.166851,15,84.506124
-0.3723,4,84.519288
-0.492362,8,84.542475
-0.53127,5,84.561826
-0.408344,4,84.574447
-0.576009,6,84.593423
-0.1962,3,84.602406
-0.328761,4,84.614216
-0.491996,6,84.634201
-0.472123,8,84.661171
-2.950533,28,85.207997
-0.753596,8,85.24355
-0.097596,2,85.251275
-0.363077,4,85.265973
-2.102003,15,85.338189
-0.150136,2,85.348994
-0.211901,4,85.363998
-0.175514,3,85.374545
-1.056823,11,85.4286
-0.140539,2,85.435259
-0.728095,10,85.487412
-1.897987,17,85.537321
-0.30481,4,85.55963
-0.533724,6,85.577609
-0.383205,5,85.595127
-1.299531,12,85.638531
-0.081307,2,85.645592
-0.116365,2,85.652025
-0.088484,2,85.658179
-3.806762,42,85.801188
-0.724425,6,85.819761
-0.587194,6,85.840623
-0.17909,3,85.851574
-1.002859,11,85.8894
-1.454159,17,85.943867
-0.832547,8,85.973031
-0.469275,4,85.985479
-1.458363,14,86.030246
-0.766041,8,86.054841
-1.231711,10,86.091234
-0.200331,3,86.099879
-0.644921,7,86.123155
-1.494234,18,86.185576
-0.612543,6,86.206443
-1.791091,17,86.266828
-0.749528,8,86.293147
-0.715468,10,86.329114
-0.700454,9,86.356343
-2.573057,26,86.441601
-2.515655,22,86.528597
-1.003921,9,86.564073
-0.022932,1,86.568377
-0.370391,5,86.592063
-0.375397,6,86.614662
-0.490006,7,86.641135
-0.253533,3,86.653452
-0.601448,6,86.680358
-0.404085,5,86.698838
-0.043501,1,86.703649
-0.228422,3,86.715456
-0.257443,4,86.729052
-0.734913,8,86.760431
-1.205594,11,86.80235
-3.094043,23,86.88306
-0.523238,5,86.902006
-0.255895,3,86.913267
-0.03443,1,86.916801
-0.850308,8,86.939754
-0.205143,3,86.948156
-0.527292,6,86.970269
-0.913822,9,87.000355
-0.775095,7,87.493995
-0.512499,7,87.521928
-1.011298,14,87.596282
-0.096091,2,87.602858
-0.484804,4,87.617253
-0.206977,3,87.628773
-0.299904,4,87.643356
-0.252091,3,87.653603
-0.261724,4,87.679646
-0.71076,7,87.705067
-0.522601,5,87.723853
-0.621914,7,87.760583
-0.388507,4,87.771753
-0.511634,6,87.79299
-0.524301,5,87.809602
-1.067491,12,87.862567
-0.462455,4,87.877998
-0.336812,4,87.891137
-0.310304,4,87.902824
-0.036759,1,87.916604
-0.731932,8,87.940147
